video_id,channelId,title,video_id,liveBroadcastContent,definition,dimension,duration,relevantTopicIds
abGCYPCk294,UCYyDbdaja1UDNdFSwUrYVGA,,,none,hd,2d,PT50M14S,"['/m/02vxn', '/m/02jjt', '/m/02jjt', '/m/02vxn']"
lY_0mkYDZDU,UC-lkm1huv9jCUH28E7cKmew,,,none,hd,2d,PT4M6S,"['/m/04rlf', '/m/05rwpb', '/m/04rlf', '/m/05rwpb']"
k8NxqyGcZA4,UCy6D16zE_mMEm1HVD20WFxA,,,none,hd,2d,PT2M34S,"['/m/0f2f9', '/m/02jjt', '/m/02jjt', '/m/0f2f9']"
IE-xepGLVt8,UC8fQzKHIhSoZeSq3bwQx4mw,,,none,hd,2d,PT4M29S,"['/m/019_rr', '/m/0kt51', '/m/019_rr', '/m/0kt51']"
ObIQ0s02UHg,UCe3yZzUwpmy2eKKmF9svX0Q,,,none,hd,2d,PT3M38S,"['/m/064t9', '/m/04rlf', '/m/02lkt', '/m/04rlf', '/m/02lkt']"
cOc3tsFWoRs,UCJ0uqCI0Vqr2Rrt1HseGirg,,,none,hd,2d,PT2M22S,"['/m/0f2f9', '/m/09kqc', '/m/02jjt', '/m/02jjt', '/m/0f2f9', '/m/09kqc']"
AJYb0Yom5UQ,UCVwfBTDTmVokWadp1PFRBBw,,,none,hd,2d,PT2M41S,"['/m/04rlf', '/m/04rlf']"
gLswXiRLdkA,UCrlcqlqYJV28LvH1iYgw4DA,,,none,hd,2d,PT9M18S,"['/m/032tl', '/m/019_rr', '/m/019_rr', '/m/032tl']"
MyEqfBkzESU,UCRPIZtgcx0D7A0rXAC3x-1A,,,none,hd,2d,PT17M40S,"['/m/019_rr', '/m/019_rr']"
wJYE0sFOteE,UCbpMy0Fg74eXXkvxJrtEn3w,,,none,hd,2d,PT4M34S,"['/m/02wbm', '/m/019_rr', '/m/019_rr', '/m/02wbm']"
L_5_slz4ke4,UCBi2mrWuNuyYy4gbM6fU18Q,,,none,hd,2d,PT3M46S,"['/m/0jm_', '/m/02vx4', '/m/06ntj', '/m/06ntj', '/m/0jm_', '/m/02vx4']"
OKoL852K9uA,UCdYIfA_OTih2--tbcKO0b5g,,,none,hd,2d,PT9M2S,"['/m/019_rr', '/m/019_rr']"
pa_oUisZZy0,UCPRUgAl_MV9PajsrG_BmT9w,,,none,hd,2d,PT1M21S,"['/m/019_rr', '/m/019_rr']"
fNtLIcyjsnI,UCuuU2L90sqhQahV1IkhCPaQ,,,none,hd,2d,PT2M28S,"['/m/02vxn', '/m/0f2f9', '/m/02jjt', '/m/02jjt', '/m/02vxn', '/m/0f2f9']"
_Iz83-Cmt6A,UCitxfFGh2jNeqL47GYB9rKg,,,none,hd,2d,PT3M48S,"['/m/04rlf', '/m/01lyv', '/m/04rlf', '/m/01lyv']"
YlvCVbfS9M0,UCJrOtniJ0-NWz37R30urifQ,,,none,hd,2d,PT1M52S,"['/m/04rlf', '/m/02lkt', '/m/064t9', '/m/04rlf', '/m/02lkt']"
arJ5h2TY3I4,UC9yXFuNnghsUHU6OpGg_MGA,,,none,hd,2d,PT3M45S,"['/m/04rlf', '/m/064t9', '/m/04rlf', '/m/064t9']"
-2RVw2_QyxQ,UCM-ONC2bCHytG2mYtKDmIeA,,,none,hd,2d,PT5H46M7S,
gEHCXl4J9Qo,UC_IpSl6O_-IRAA6fiNs05Gg,,,none,hd,2d,PT3M6S,"['/m/04rlf', '/m/064t9', '/m/064t9', '/m/04rlf']"
#NAME?,,,,,,,,
b4vTZx_AtHk,UCR4s1DE9J4DHzZYXMltSMAg,,,none,hd,2d,PT1M27S,"['/m/02wbm', '/m/019_rr', '/m/019_rr', '/m/02wbm']"
kOnQocd799Y,UCYUQQgogVeQY8cMQamhHJcg,,,none,hd,2d,PT15M24S,"['/m/02vxn', '/m/02jjt', '/m/02jjt', '/m/02vxn']"
e4FApt6z55c,UCxUp7o-KYIygfaw4UOZ8ebQ,,,none,hd,2d,PT3M25S,"['/m/064t9', '/m/04rlf', '/m/04rlf', '/m/064t9']"
2XK4omx9uMU,UCZzwjZPc6R_PbnDgFVMwlvQ,,,none,hd,2d,PT2M5S,"['/m/04rlf', '/m/04rlf']"
xfmipNU4Odc,UCdu8QrpJd6rdHU9fHl8J01A,,,none,hd,2d,PT3M34S,"['/m/068hy', '/m/019_rr', '/m/019_rr', '/m/068hy']"
jp9hK-jY6yY,UCfm4y4rHF5HGrSr-qbvOwOg,,,none,hd,2d,PT6M,"['/m/02jjt', '/m/02jjt']"
RkHuWjiR-LM,UCToUNe4i9j_SlKGFl8MrQHg,,,none,hd,2d,PT3M42S,"['/m/04rlf', '/m/06by7', '/m/06by7', '/m/04rlf']"
fCTKDn3Q8xQ,UC4yqcgz49APdbgj0OMv7jpA,,,none,hd,2d,PT4M15S,"['/m/019_rr', '/m/019_rr']"
DIU3xPdhCBI,UCZtDUmC3W7j25XHZWFT_XgQ,,,none,hd,2d,PT5M40S,"['/m/04rlf', '/m/04rlf']"
wnwF1FHybDQ,UCVTyTA7-g9nopHeHbeuvpRA,,,none,hd,2d,PT4M31S,"['/m/0f2f9', '/m/02jjt', '/m/09kqc', '/m/02jjt', '/m/0f2f9', '/m/09kqc']"
9oFP-pOMNwE,UCoc8tpGCY1wrp8pV7mI0scA,,,none,hd,2d,PT13S,
pz95u3UVpaM,UCk0wwaFCIkxwSfi6gpRqQUw,,,none,hd,2d,PT3M37S,"['/m/04rlf', '/m/064t9', '/m/04rlf', '/m/064t9']"
g5c1bk8weaQ,UCxSz6JVYmzVhtkraHWZC7HQ,,,none,hd,2d,PT4M1S,"['/m/019_rr', '/m/019_rr']"
yuBqWcSKrCk,UCp0hYYBW6IMayGgR-WeoCvQ,,,none,hd,2d,PT7M8S,"['/m/0f2f9', '/m/02vxn', '/m/09kqc', '/m/02jjt', '/m/02jjt', '/m/0f2f9', '/m/09kqc']"
x9mh-SwSKas,UCgWfS_47YPVbKx5EK4FLm4A,,,none,hd,2d,PT16M19S,"['/m/019_rr', '/m/019_rr']"
uiA4B5Y63IQ,UCor9rW6PgxSQ9vUPWQdnaYQ,,,none,hd,2d,PT2M21S,"['/m/02vxn', '/m/02jjt', '/m/02jjt', '/m/02vxn']"
